SUB_TXT,STATION,DISTRICT,REGION
ANNANDALE,BEVERLEY,WHEATBELT,REGIONAL WA REGION
ANNANUKA,MANJIMUP,SOUTH WEST,REGIONAL WA REGION
ANNEAN STATION,MEEKATHARRA,MID WEST-GASCOYNE,REGIONAL WA REGION
ANNEBROOK,BEVERLEY,WHEATBELT,REGIONAL WA REGION
ANNIE BROOK,DUNSBOROUGH,SOUTH WEST,REGIONAL WA REGION
ANNIEBROOK,DUNSBOROUGH,SOUTH WEST,REGIONAL WA REGION
ANSTEY,MANDURAH,MANDURAH,METROPOLITAN REGION SOUTH
ANT HILL MINE,NULLAGINE,PILBARA,REGIONAL WA REGION
ANTONYMYRE,ROEBOURNE,PILBARA,REGIONAL WA REGION
APPERDENE,MANJIMUP,SOUTH WEST,REGIONAL WA REGION
APPERTARRA,NORTHAMPTON,MID WEST-GASCOYNE,REGIONAL WA REGION
APPLECROSS,PALMYRA,FREMANTLE,METROPOLITAN REGION SOUTH
ARALUEN,ARMADALE,ARMADALE,METROPOLITAN REGION SOUTH
ARDATH,BRUCE ROCK,WHEATBELT,REGIONAL WA REGION
ARDINGLY,MULLEWA,MID WEST-GASCOYNE,REGIONAL WA REGION
ARDROSS,PALMYRA,FREMANTLE,METROPOLITAN REGION SOUTH
ARGYLE,DONNYBROOK,SOUTH WEST,REGIONAL WA REGION
ARGYLE VIA DONNYBROOK,DONNYBROOK,SOUTH WEST,REGIONAL WA REGION
ARMADALE,ARMADALE,ARMADALE,METROPOLITAN REGION SOUTH
ARRINO,THREE SPRINGS,MID WEST-GASCOYNE,REGIONAL WA REGION
ARROWSMITH,DONGARA,MID WEST-GASCOYNE,REGIONAL WA REGION
ARROWSMITH EAST,THREE SPRINGS,MID WEST-GASCOYNE,REGIONAL WA REGION
ARROWSMITH RIVER,DONGARA,MID WEST-GASCOYNE,REGIONAL WA REGION
ARTHUR RIVER,WILLIAMS,GREAT SOUTHERN,REGIONAL WA REGION
ARTHUR RIVER STATION,GASCOYNE JUNCTION,MID WEST-GASCOYNE,REGIONAL WA REGION
ARUBIDDY STATION,NORSEMAN,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
ASCOT,BELMONT,CANNINGTON,METROPOLITAN REGION SOUTH
ASHBURTON DOWNS STATION,PARABURDOO,PILBARA,REGIONAL WA REGION
ASHBURTON ISLAND,ONSLOW,PILBARA,REGIONAL WA REGION
ASHBY,WANNEROO,JOONDALUP,METROPOLITAN REGION NORTH
ASHBY GARDENS,MIDLAND,MIDLAND,METROPOLITAN REGION NORTH
ASHENDON,ARMADALE,ARMADALE,METROPOLITAN REGION SOUTH
ASHFIELD,KIARA,MIDLAND,METROPOLITAN REGION NORTH
ASPLIN,BOYUP BROOK,SOUTH WEST,REGIONAL WA REGION
ATLEY STATION,MOUNT MAGNET,MID WEST-GASCOYNE,REGIONAL WA REGION
ATTADALE,PALMYRA,FREMANTLE,METROPOLITAN REGION SOUTH
ATWELL,COCKBURN,FREMANTLE,METROPOLITAN REGION SOUTH
AUBIN GROVE,COCKBURN,FREMANTLE,METROPOLITAN REGION SOUTH
AUGUSTA,AUGUSTA,SOUTH WEST,REGIONAL WA REGION
AUGUSTUS ISLANDS,DERBY,KIMBERLEY,REGIONAL WA REGION
AUSTIN DOWNS STATION,CUE,MID WEST-GASCOYNE,REGIONAL WA REGION
AUSTRALIND,AUSTRALIND,SOUTH WEST,REGIONAL WA REGION
AVALON,MANDURAH,MANDURAH,METROPOLITAN REGION SOUTH
AVELEY,ELLENBROOK,MIDLAND,METROPOLITAN REGION NORTH
AVOCA DOWNS STATION,KALGOORLIE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
AVON,NORTHAM,WHEATBELT,REGIONAL WA REGION
