SUB_TXT,STATION,DISTRICT,REGION
DULYALBIN,SOUTHERN CROSS,WHEATBELT,REGIONAL WA REGION
DUMBARTON,TOODYAY,WHEATBELT,REGIONAL WA REGION
DUMBERNING,NARROGIN,GREAT SOUTHERN,REGIONAL WA REGION
DUMBLEYUNG,DUMBLEYUNG,GREAT SOUTHERN,REGIONAL WA REGION
DUNBARTON ESTATE,BUSSELTON,SOUTH WEST,REGIONAL WA REGION
DUNCRAIG,HILLARYS,JOONDALUP,METROPOLITAN REGION NORTH
DUNDARING FLATS,YORK,WHEATBELT,REGIONAL WA REGION
DUNDAS,NORSEMAN,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
DUNLOP CROSSING,KALGOORLIE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
DUNN ROCK,LAKE GRACE,GREAT SOUTHERN,REGIONAL WA REGION
DUNREATH,MIDLAND,MIDLAND,METROPOLITAN REGION NORTH
DUNSBOROUGH,DUNSBOROUGH,SOUTH WEST,REGIONAL WA REGION
DURACK,WYNDHAM,KIMBERLEY,REGIONAL WA REGION
DURALINYA,NORSEMAN,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
DURANILLIN,WILLIAMS,GREAT SOUTHERN,REGIONAL WA REGION
DURAWAH,NORTHAMPTON,MID WEST-GASCOYNE,REGIONAL WA REGION
DWALGANUP,BOYUP BROOK,SOUTH WEST,REGIONAL WA REGION
DWARDA,PINGELLY,GREAT SOUTHERN,REGIONAL WA REGION
DWELLINGUP,DWELLINGUP,MANDURAH,METROPOLITAN REGION SOUTH
EAGLE BAY,DUNSBOROUGH,SOUTH WEST,REGIONAL WA REGION
EARAHEEDY STATION,WILUNA,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
EAST ARTHUR,WAGIN,GREAT SOUTHERN,REGIONAL WA REGION
EAST AUGUSTA,AUGUSTA,SOUTH WEST,REGIONAL WA REGION
EAST BALLIDU,WONGAN HILLS,WHEATBELT,REGIONAL WA REGION
EAST BEVERLEY,BEVERLEY,WHEATBELT,REGIONAL WA REGION
EAST BOWES,NORTHAMPTON,MID WEST-GASCOYNE,REGIONAL WA REGION
EAST BULLSBROOK,MIDLAND,MIDLAND,METROPOLITAN REGION NORTH
EAST BUNBURY,BUNBURY,SOUTH WEST,REGIONAL WA REGION
EAST CANNINGTON,CANNINGTON,CANNINGTON,METROPOLITAN REGION SOUTH
EAST CARNARVON,CARNARVON,MID WEST-GASCOYNE,REGIONAL WA REGION
EAST CHAPMAN,GERALDTON,MID WEST-GASCOYNE,REGIONAL WA REGION
EAST DAMBORING,DALWALLINU,WHEATBELT,REGIONAL WA REGION
EAST FREMANTLE,FREMANTLE,FREMANTLE,METROPOLITAN REGION SOUTH
EAST INTERCOURSE ISLAND,DAMPIER,PILBARA,REGIONAL WA REGION
EAST LYONS RIVER,BURRINGURRAH,MID WEST-GASCOYNE,REGIONAL WA REGION
EAST MIDLAND,MIDLAND,MIDLAND,METROPOLITAN REGION NORTH
EAST MUNGLINUP,ESPERANCE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
EAST MURCHISON,MEEKATHARRA,MID WEST-GASCOYNE,REGIONAL WA REGION
EAST NABAWA,NORTHAMPTON,MID WEST-GASCOYNE,REGIONAL WA REGION
EAST NANNUP,NANNUP,SOUTH WEST,REGIONAL WA REGION
EAST NEWDEGATE,LAKE GRACE,GREAT SOUTHERN,REGIONAL WA REGION
EAST NORTHAM,NORTHAM,WHEATBELT,REGIONAL WA REGION
EAST PERTH,PERTH,PERTH,METROPOLITAN REGION NORTH
EAST PINGELLY,PINGELLY,GREAT SOUTHERN,REGIONAL WA REGION
EAST POPANYINNING,NARROGIN,GREAT SOUTHERN,REGIONAL WA REGION
EAST ROCKINGHAM,ROCKINGHAM,MANDURAH,METROPOLITAN REGION SOUTH
EAST VICTORIA PARK,KENSINGTON,CANNINGTON,METROPOLITAN REGION SOUTH
EAST WICKEPIN,WICKEPIN,GREAT SOUTHERN,REGIONAL WA REGION
EAST WITCHCLIFFE,MARGARET RIVER,SOUTH WEST,REGIONAL WA REGION
EAST XX1,BOYUP BROOK,SOUTH WEST,REGIONAL WA REGION
EAST XX3,BUNBURY,SOUTH WEST,REGIONAL WA REGION
EAST YUNA,NORTHAMPTON,MID WEST-GASCOYNE,REGIONAL WA REGION
EASTBROOK,PEMBERTON,SOUTH WEST,REGIONAL WA REGION
EASTERN CREEK,NULLAGINE,PILBARA,REGIONAL WA REGION
EATON,AUSTRALIND,SOUTH WEST,REGIONAL WA REGION
ECLIPSE ISLAND,ALBANY,GREAT SOUTHERN,REGIONAL WA REGION
EDAGEE STATION,CARNARVON,MID WEST-GASCOYNE,REGIONAL WA REGION
EDAH STATION,YALGOO,MID WEST-GASCOYNE,REGIONAL WA REGION
EDAWA,MOORA,WHEATBELT,REGIONAL WA REGION
EDEN HILL,KIARA,MIDLAND,METROPOLITAN REGION NORTH
EDGEWATER,JOONDALUP,JOONDALUP,METROPOLITAN REGION NORTH
EDIBEGEBEGE,MOORA,WHEATBELT,REGIONAL WA REGION
EDJUDINA,MENZIES,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
EDMUND STATION,GASCOYNE JUNCTION,MID WEST-GASCOYNE,REGIONAL WA REGION
EDWARDS FIND,SOUTHERN CROSS,WHEATBELT,REGIONAL WA REGION
EGANU,CARNAMAH,MID WEST-GASCOYNE,REGIONAL WA REGION
EGLINTON,YANCHEP,JOONDALUP,METROPOLITAN REGION NORTH
EIGHTY MILE BEACH,BIDYADANGA,KIMBERLEY,REGIONAL WA REGION
EJANDING,DOWERIN,WHEATBELT,REGIONAL WA REGION
EL QUESTRO,WYNDHAM,KIMBERLEY,REGIONAL WA REGION
ELABBIN,MUKINBUDIN,WHEATBELT,REGIONAL WA REGION
ELACHBUTTING,MUKINBUDIN,WHEATBELT,REGIONAL WA REGION
ELGIN,CAPEL,SOUTH WEST,REGIONAL WA REGION
ELIZABETH,MANDURAH,MANDURAH,METROPOLITAN REGION SOUTH
ELLA VALLA STATION,CARNARVON,MID WEST-GASCOYNE,REGIONAL WA REGION
ELLEKER,ALBANY,GREAT SOUTHERN,REGIONAL WA REGION
ELLENBRAE STATION,WYNDHAM,KIMBERLEY,REGIONAL WA REGION
ELLENBROOK,ELLENBROOK,MIDLAND,METROPOLITAN REGION NORTH
ELLENDALE,GERALDTON,MID WEST-GASCOYNE,REGIONAL WA REGION
ELLENDALE STATION,FITZROY CROSSING,KIMBERLEY,REGIONAL WA REGION
ELPHIN,WONGAN HILLS,WHEATBELT,REGIONAL WA REGION
ELVIRE STATION,HALLS CREEK,KIMBERLEY,REGIONAL WA REGION
EMBLETON,BAYSWATER,MIRRABOOKA,METROPOLITAN REGION NORTH
EMU CREEK,KUNUNURRA,KIMBERLEY,REGIONAL WA REGION
EMU FLAT,KALGOORLIE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
EMU PLAINS,FITZROY CROSSING,KIMBERLEY,REGIONAL WA REGION
EMU POINT,ALBANY,GREAT SOUTHERN,REGIONAL WA REGION
ENANTY HILL,MINGENEW,MID WEST-GASCOYNE,REGIONAL WA REGION
ENEABBA,LEEMAN,MID WEST-GASCOYNE,REGIONAL WA REGION
ENNUIN,SOUTHERN CROSS,WHEATBELT,REGIONAL WA REGION
ERADU,GERALDTON,MID WEST-GASCOYNE,REGIONAL WA REGION
ERADU SOUTH,GERALDTON,MID WEST-GASCOYNE,REGIONAL WA REGION
ERIKIN,BRUCE ROCK,WHEATBELT,REGIONAL WA REGION
ERLISTOUN STATION,LAVERTON,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
ERONG STATION,CUE,MID WEST-GASCOYNE,REGIONAL WA REGION
ERRABIDDY STATION,MEEKATHARRA,MID WEST-GASCOYNE,REGIONAL WA REGION
ERREGULLA FARMS,MINGENEW,MID WEST-GASCOYNE,REGIONAL WA REGION
ERREGULLA PLAINS,MINGENEW,MID WEST-GASCOYNE,REGIONAL WA REGION
ERRONG STATION,MEEKATHARRA,MID WEST-GASCOYNE,REGIONAL WA REGION
ERSKINE,MANDURAH,MANDURAH,METROPOLITAN REGION SOUTH
ESPERANCE,ESPERANCE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
ETHEL CREEK STATION,NULLAGINE,PILBARA,REGIONAL WA REGION
ETMILYN,DWELLINGUP,MANDURAH,METROPOLITAN REGION SOUTH
EUCALYPTUS,LEONORA,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
EUCLA,EUCLA,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
EUDAMULLAH STATION,GASCOYNE JUNCTION,MID WEST-GASCOYNE,REGIONAL WA REGION
EUJINYN,BRUCE ROCK,WHEATBELT,REGIONAL WA REGION
EULIN CROSSING,BOYUP BROOK,SOUTH WEST,REGIONAL WA REGION
EUMINING ROCK,GOOMALLING,WHEATBELT,REGIONAL WA REGION
EUMINING WELL,GOOMALLING,WHEATBELT,REGIONAL WA REGION
EUNDYNIE,NORSEMAN,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
EURADY STATION,NORTHAMPTON,MID WEST-GASCOYNE,REGIONAL WA REGION
EURARDY,NORTHAMPTON,MID WEST-GASCOYNE,REGIONAL WA REGION
EVANS SIDING,BOYUP BROOK,SOUTH WEST,REGIONAL WA REGION
EVARDI,KALBARRI,MID WEST-GASCOYNE,REGIONAL WA REGION
EVASIDE,MORAWA,MID WEST-GASCOYNE,REGIONAL WA REGION
EWLYAMARTUP,KATANNING,GREAT SOUTHERN,REGIONAL WA REGION
EXMOUTH,EXMOUTH,PILBARA,REGIONAL WA REGION
EXMOUTH GULF,EXMOUTH,PILBARA,REGIONAL WA REGION
EXMOUTH GULF STATION,EXMOUTH,PILBARA,REGIONAL WA REGION
EYRE,EUCLA,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
FAIRBRIDGE,PINJARRA,MANDURAH,METROPOLITAN REGION SOUTH
FAIRFIELD STATION,FITZROY CROSSING,KIMBERLEY,REGIONAL WA REGION
FAIRLAWN,BUSSELTON,SOUTH WEST,REGIONAL WA REGION
FALCON,MANDURAH,MANDURAH,METROPOLITAN REGION SOUTH
FALCONDALE,DUMBLEYUNG,GREAT SOUTHERN,REGIONAL WA REGION
FANNY COVE,ESPERANCE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
FAURE ISLAND STATION,SHARK BAY,MID WEST-GASCOYNE,REGIONAL WA REGION
FERGUSON,CAPEL,SOUTH WEST,REGIONAL WA REGION
FERNDALE,CANNINGTON,CANNINGTON,METROPOLITAN REGION SOUTH
FEYSVILLE,KALGOORLIE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
FIBRE QUEEN MINE,SOUTH HEDLAND,PILBARA,REGIONAL WA REGION
FICIFOLIA,DENMARK,GREAT SOUTHERN,REGIONAL WA REGION
FIELDS FIND,MOUNT MAGNET,MID WEST-GASCOYNE,REGIONAL WA REGION
FIMISTON,KALGOORLIE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
FINUCANE,SOUTH HEDLAND,PILBARA,REGIONAL WA REGION
FINUCANE ISLAND,SOUTH HEDLAND,PILBARA,REGIONAL WA REGION
FITZGERALD,RAVENSTHORPE,GREAT SOUTHERN,REGIONAL WA REGION
FITZGERALD INLET,RAVENSTHORPE,GREAT SOUTHERN,REGIONAL WA REGION
FITZGERALD RIVER,RAVENSTHORPE,GREAT SOUTHERN,REGIONAL WA REGION
FITZGERALD RIVER NAT PARK,RAVENSTHORPE,GREAT SOUTHERN,REGIONAL WA REGION
FITZGERALD RIVER NATIONAL PARK,RAVENSTHORPE,GREAT SOUTHERN,REGIONAL WA REGION
FITZROY CROSSING,FITZROY CROSSING,KIMBERLEY,REGIONAL WA REGION
FITZROY RIVER,FITZROY CROSSING,KIMBERLEY,REGIONAL WA REGION
FLAT ROCKS,KATANNING,GREAT SOUTHERN,REGIONAL WA REGION
FLEMMING GROVE,ESPERANCE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
FLINDERS BAY,MARGARET RIVER,SOUTH WEST,REGIONAL WA REGION
FLINDERS PARK,ALBANY,GREAT SOUTHERN,REGIONAL WA REGION
FLINT,BEVERLEY,WHEATBELT,REGIONAL WA REGION
FLORA VALLEY STATION,HALLS CREEK,KIMBERLEY,REGIONAL WA REGION
FLOREAT,WEMBLEY,PERTH,METROPOLITAN REGION NORTH
FLORIDA,MANDURAH,MANDURAH,METROPOLITAN REGION SOUTH
FLY ISLAND,ONSLOW,PILBARA,REGIONAL WA REGION
FLYNN,YORK,WHEATBELT,REGIONAL WA REGION
FONTY'S POOL,MANJIMUP,SOUTH WEST,REGIONAL WA REGION
FOREST EDGE,TOODYAY,WHEATBELT,REGIONAL WA REGION
FOREST GROVE,MARGARET RIVER,SOUTH WEST,REGIONAL WA REGION
FOREST HILL,MOUNT BARKER,GREAT SOUTHERN,REGIONAL WA REGION
FOREST LAKES,GOSNELLS,ARMADALE,METROPOLITAN REGION SOUTH
FORK CREEK,WYNDHAM,KIMBERLEY,REGIONAL WA REGION
FORREST,EUCLA,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
FORREST BEACH,CAPEL,SOUTH WEST,REGIONAL WA REGION
FORREST HILL,MOUNT BARKER,GREAT SOUTHERN,REGIONAL WA REGION
FORRESTANIA,KONDININ,GREAT SOUTHERN,REGIONAL WA REGION
FORRESTDALE,CANNING VALE,ARMADALE,METROPOLITAN REGION SOUTH
FORRESTFIELD,FORRESTFIELD,MIDLAND,METROPOLITAN REGION NORTH
FORRESTONIA,KONDININ,GREAT SOUTHERN,REGIONAL WA REGION
FORTESCUE,PANNAWONICA,PILBARA,REGIONAL WA REGION
FORTESCUE RIVER MOUTH,PANNAWONICA,PILBARA,REGIONAL WA REGION
FORTESCUE ROADHOUSE,PANNAWONICA,PILBARA,REGIONAL WA REGION
FOSSIL DOWNS STATION,FITZROY CROSSING,KIMBERLEY,REGIONAL WA REGION
FOSTER RANGE,WYNDHAM,KIMBERLEY,REGIONAL WA REGION
FOUL BAY,DENMARK,GREAT SOUTHERN,REGIONAL WA REGION
FRANCOIS PERON NATIONAL PARK,SHARK BAY,MID WEST-GASCOYNE,REGIONAL WA REGION
FRANKLAND,CRANBROOK,GREAT SOUTHERN,REGIONAL WA REGION
FRANKLAND RIVER,CRANBROOK,GREAT SOUTHERN,REGIONAL WA REGION
FRASER RANGE,NORSEMAN,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
FRASER RANGE STATION,NORSEMAN,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
FRASER RIVER,DERBY,KIMBERLEY,REGIONAL WA REGION
FRAZIER DOWNS STATION,BROOME,KIMBERLEY,REGIONAL WA REGION
FREMANTLE,FREMANTLE,FREMANTLE,METROPOLITAN REGION SOUTH
FRENCHES SIDING,NORTHAM,WHEATBELT,REGIONAL WA REGION
FRENCHMAN BAY,ALBANY,GREAT SOUTHERN,REGIONAL WA REGION
FRESHWATER POINT,DONGARA,MID WEST-GASCOYNE,REGIONAL WA REGION
FREYCINET ESTUARY,SHARK BAY,MID WEST-GASCOYNE,REGIONAL WA REGION
FRIENDLY CREEK MINE,SOUTH HEDLAND,PILBARA,REGIONAL WA REGION
FROG HOLLOW,WARMUN,KIMBERLEY,REGIONAL WA REGION
FURNISSDALE,MANDURAH,MANDURAH,METROPOLITAN REGION SOUTH
GABALONG,MOORA,WHEATBELT,REGIONAL WA REGION
GABANINTHA,MEEKATHARRA,MID WEST-GASCOYNE,REGIONAL WA REGION
GABBADAH,LANCELIN,WHEATBELT,REGIONAL WA REGION
GABBIN,BENCUBBIN,WHEATBELT,REGIONAL WA REGION
GABBY QUOI QUOI,GOOMALLING,WHEATBELT,REGIONAL WA REGION
GABINGULLUP,YORK,WHEATBELT,REGIONAL WA REGION
GABYON STATION,YALGOO,MID WEST-GASCOYNE,REGIONAL WA REGION
GAIRDNER,JERRAMUNGUP,GREAT SOUTHERN,REGIONAL WA REGION
GALENA,NORTHAMPTON,MID WEST-GASCOYNE,REGIONAL WA REGION
GALVINS GORGE,DERBY,KIMBERLEY,REGIONAL WA REGION
GAP RIDGE,KARRATHA,PILBARA,REGIONAL WA REGION
GARDEN GRANITES,CUE,MID WEST-GASCOYNE,REGIONAL WA REGION
GARDEN GULLY,MEEKATHARRA,MID WEST-GASCOYNE,REGIONAL WA REGION
GARDEN ISLAND,ROCKINGHAM,MANDURAH,METROPOLITAN REGION SOUTH
GASCOYNE JUNCTION,BURRINGURRAH,MID WEST-GASCOYNE,REGIONAL WA REGION
GASCOYNE RIVER,BURRINGURRAH,MID WEST-GASCOYNE,REGIONAL WA REGION
GEEGULLY CREEK,LOOMA,KIMBERLEY,REGIONAL WA REGION
GEEKABEE HILL,TAMBELLUP,GREAT SOUTHERN,REGIONAL WA REGION
GEIKE GORGE,FITZROY CROSSING,KIMBERLEY,REGIONAL WA REGION
GELORUP,BUNBURY,SOUTH WEST,REGIONAL WA REGION
GEMINI HILLS,WYNDHAM,KIMBERLEY,REGIONAL WA REGION
GEOGRAPHE,BUSSELTON,SOUTH WEST,REGIONAL WA REGION
GEOGRAPHE CHANNEL,CARNARVON,MID WEST-GASCOYNE,REGIONAL WA REGION
GEORGE ROCK,CORRIGIN,GREAT SOUTHERN,REGIONAL WA REGION
GEORGINA,GERALDTON,MID WEST-GASCOYNE,REGIONAL WA REGION
GERALDTON,GERALDTON,MID WEST-GASCOYNE,REGIONAL WA REGION
GHOOLI,SOUTHERN CROSS,WHEATBELT,REGIONAL WA REGION
GIBB,WYNDHAM,KIMBERLEY,REGIONAL WA REGION
GIBB RIVER STATION,WYNDHAM,KIMBERLEY,REGIONAL WA REGION
GIBRALTAR,COOLGARDIE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
GIBSON,ESPERANCE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
GIBSON DESERT,LAVERTON,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
GIBSON DESERT NORTH,KINTORE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
GIBSON DESERT SOUTH,WARBURTON,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
GIDGEE STATION,WILUNA,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
GIDGEGANNUP,MUNDARING,MIDLAND,METROPOLITAN REGION NORTH
GIDGEGANNUP SPRINGS,TOODYAY,WHEATBELT,REGIONAL WA REGION
GIDGEGANNUP SPRINGS ESTAT,TOODYAY,WHEATBELT,REGIONAL WA REGION
GIFFORD CREEK STATION,GASCOYNE JUNCTION,MID WEST-GASCOYNE,REGIONAL WA REGION
GILES,LAVERTON,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
GILES POINT,NEWMAN,PILBARA,REGIONAL WA REGION
GILGERING,YORK,WHEATBELT,REGIONAL WA REGION
GILLIMANNING,WICKEPIN,GREAT SOUTHERN,REGIONAL WA REGION
GILLINGARRA,MOORA,WHEATBELT,REGIONAL WA REGION
GILROYD,SHARK BAY,MID WEST-GASCOYNE,REGIONAL WA REGION
GILROYD STATION,CARNARVON,MID WEST-GASCOYNE,REGIONAL WA REGION
GINDALBIE STATION,KALGOORLIE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
GINGERAH,BIDYADANGA,KIMBERLEY,REGIONAL WA REGION
GINGIN,GINGIN,WHEATBELT,REGIONAL WA REGION
GINGINUP,GINGIN,WHEATBELT,REGIONAL WA REGION
GIRALIA STATION,EXMOUTH,PILBARA,REGIONAL WA REGION
GIRRAWHEEN,WARWICK,JOONDALUP,METROPOLITAN REGION NORTH
GLADSTONE,CARNARVON,MID WEST-GASCOYNE,REGIONAL WA REGION
GLEDHOW,ALBANY,GREAT SOUTHERN,REGIONAL WA REGION
GLEN CANDY,ALBANY,GREAT SOUTHERN,REGIONAL WA REGION
GLEN FLORRIE STATION,ONSLOW,PILBARA,REGIONAL WA REGION
GLEN FORREST,MUNDARING,MIDLAND,METROPOLITAN REGION NORTH
GLEN HILL STATION,KUNUNURRA,KIMBERLEY,REGIONAL WA REGION
GLEN IRIS,BUNBURY,SOUTH WEST,REGIONAL WA REGION
GLEN IRWIN,YORK,WHEATBELT,REGIONAL WA REGION
GLEN MERVYN,DONNYBROOK,SOUTH WEST,REGIONAL WA REGION
GLEN PADDEN,BUNBURY,SOUTH WEST,REGIONAL WA REGION
GLEN STATION,CUE,MID WEST-GASCOYNE,REGIONAL WA REGION
GLENAYLE STATION,WILUNA,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
GLENBURGH STATION,GASCOYNE JUNCTION,MID WEST-GASCOYNE,REGIONAL WA REGION
GLENCOE,KATANNING,GREAT SOUTHERN,REGIONAL WA REGION
GLENDALOUGH,SCARBOROUGH,MIRRABOOKA,METROPOLITAN REGION NORTH
GLENELG RIVER,DERBY,KIMBERLEY,REGIONAL WA REGION
GLENFIELD,GERALDTON,MID WEST-GASCOYNE,REGIONAL WA REGION
GLENHURST,CORRIGIN,GREAT SOUTHERN,REGIONAL WA REGION
GLENLYNN,BRIDGETOWN,SOUTH WEST,REGIONAL WA REGION
GLENORAN,MANJIMUP,SOUTH WEST,REGIONAL WA REGION
GLENORCHY,KOJONUP,GREAT SOUTHERN,REGIONAL WA REGION
GLENORN STATION,LEONORA,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
GLENROY STATION,FITZROY CROSSING,KIMBERLEY,REGIONAL WA REGION
GLENTROMIE,WONGAN HILLS,WHEATBELT,REGIONAL WA REGION
GLENVAR,WONGAN HILLS,WHEATBELT,REGIONAL WA REGION
GNANGARA,WANNEROO,JOONDALUP,METROPOLITAN REGION NORTH
GNARABUP,MARGARET RIVER,SOUTH WEST,REGIONAL WA REGION
GNARALOO STATION,CARNARVON,MID WEST-GASCOYNE,REGIONAL WA REGION
GNARLBINE,COOLGARDIE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
GNOOLOWA HILL,MINGENEW,MID WEST-GASCOYNE,REGIONAL WA REGION
GNOOREA,DAMPIER,PILBARA,REGIONAL WA REGION
GNOWANGERUP,GNOWANGERUP,GREAT SOUTHERN,REGIONAL WA REGION
GNOWANGERUP MISSION,GNOWANGERUP,GREAT SOUTHERN,REGIONAL WA REGION
GNOWELLEN,ALBANY,GREAT SOUTHERN,REGIONAL WA REGION
GNOWS NEST,YALGOO,MID WEST-GASCOYNE,REGIONAL WA REGION
GO-GO STATION,FITZROY CROSSING,KIMBERLEY,REGIONAL WA REGION
GOANNA PATCH,LEINSTER,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
GODDARD,DOWERIN,WHEATBELT,REGIONAL WA REGION
GOERGRUP,MANDURAH,MANDURAH,METROPOLITAN REGION SOUTH
GOLDEN BAY,MANDURAH,MANDURAH,METROPOLITAN REGION SOUTH
GOLDEN GATE,KALGOORLIE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
GOLDEN GROVE,YALGOO,MID WEST-GASCOYNE,REGIONAL WA REGION
GOLDEN HILL,DENMARK,GREAT SOUTHERN,REGIONAL WA REGION
GOLDEN RIDGE,KALGOORLIE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
GOLDSWORTHY,SOUTH HEDLAND,PILBARA,REGIONAL WA REGION
GOODABINYA,MARBLE BAR,PILBARA,REGIONAL WA REGION
GOODE BEACH,ALBANY,GREAT SOUTHERN,REGIONAL WA REGION
GOODINGNOW STATION,MOUNT MAGNET,MID WEST-GASCOYNE,REGIONAL WA REGION
GOODLANDS,DALWALLINU,WHEATBELT,REGIONAL WA REGION
GOODWOOD,NANNUP,SOUTH WEST,REGIONAL WA REGION
GOOMALLING,GOOMALLING,WHEATBELT,REGIONAL WA REGION
GOOMARIN,MERREDIN,WHEATBELT,REGIONAL WA REGION
GOONDEROO,MOORA,WHEATBELT,REGIONAL WA REGION
GOONGARRIE,MENZIES,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
GOONGOONING,GOOMALLING,WHEATBELT,REGIONAL WA REGION
GOOSEBERRY HILL,FORRESTFIELD,MIDLAND,METROPOLITAN REGION NORTH
GORDON DOWNS STATION,HALLS CREEK,KIMBERLEY,REGIONAL WA REGION
GORDON RIVER,TAMBELLUP,GREAT SOUTHERN,REGIONAL WA REGION
GORGE ROCK,CORRIGIN,GREAT SOUTHERN,REGIONAL WA REGION
GORRIE,MUNDARING,MIDLAND,METROPOLITAN REGION NORTH
GOSNELLS,GOSNELLS,ARMADALE,METROPOLITAN REGION SOUTH
GRACETOWN,MARGARET RIVER,SOUTH WEST,REGIONAL WA REGION
GRANITE PEAK STATION,WILUNA,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
GRANTS PATCH,KALGOORLIE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
GRANVILLE,GINGIN,WHEATBELT,REGIONAL WA REGION
GRASS PATCH,ESPERANCE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
GRASS VALLEY,NORTHAM,WHEATBELT,REGIONAL WA REGION
GRASSMERE,ALBANY,GREAT SOUTHERN,REGIONAL WA REGION
GRAYLANDS,WEMBLEY,PERTH,METROPOLITAN REGION NORTH
GREAT BOULDER,KALGOORLIE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
GREAT SANDY DESERT,LAVERTON,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
GREEN HEAD,LEEMAN,MID WEST-GASCOYNE,REGIONAL WA REGION
GREEN HILLS,YORK,WHEATBELT,REGIONAL WA REGION
GREEN ISLET,JURIEN BAY,MID WEST-GASCOYNE,REGIONAL WA REGION
GREEN RANGE,ALBANY,GREAT SOUTHERN,REGIONAL WA REGION
GREEN VALLEY,ALBANY,GREAT SOUTHERN,REGIONAL WA REGION
GREENBUSHES,BRIDGETOWN,SOUTH WEST,REGIONAL WA REGION
GREENFIELDS,MANDURAH,MANDURAH,METROPOLITAN REGION SOUTH
GREENHEAD,LEEMAN,MID WEST-GASCOYNE,REGIONAL WA REGION
GREENHILLS,YORK,WHEATBELT,REGIONAL WA REGION
GREENMOUNT,MIDLAND,MIDLAND,METROPOLITAN REGION NORTH
GREENOUGH,GERALDTON,MID WEST-GASCOYNE,REGIONAL WA REGION
GREENWOOD,WARWICK,JOONDALUP,METROPOLITAN REGION NORTH
GREENWOODS VALLEY,CUNDERDIN,WHEATBELT,REGIONAL WA REGION
GREGORY,NORTHAMPTON,MID WEST-GASCOYNE,REGIONAL WA REGION
GREY,JURIEN BAY,MID WEST-GASCOYNE,REGIONAL WA REGION
GREYS PLAIN,CARNARVON,MID WEST-GASCOYNE,REGIONAL WA REGION
GRIMWADE,DONNYBROOK,SOUTH WEST,REGIONAL WA REGION
GUDARRA,KALGOORLIE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
GUILDERTON,LANCELIN,WHEATBELT,REGIONAL WA REGION
GUILDFORD,MIDLAND,MIDLAND,METROPOLITAN REGION NORTH
GULLEWA MINE,YALGOO,MID WEST-GASCOYNE,REGIONAL WA REGION
GUM TREE BAY,DONGARA,MID WEST-GASCOYNE,REGIONAL WA REGION
GUNDARING,WAGIN,GREAT SOUTHERN,REGIONAL WA REGION
GUNNADORAH STATION,EUCLA,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
GUNYALGUP,DUNSBOROUGH,SOUTH WEST,REGIONAL WA REGION
GUNYIDI,CARNAMAH,MID WEST-GASCOYNE,REGIONAL WA REGION
GURANU,MINGENEW,MID WEST-GASCOYNE,REGIONAL WA REGION
GUTHA,MORAWA,MID WEST-GASCOYNE,REGIONAL WA REGION
GWALIA,LEONORA,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
GWAMBYGINE,YORK,WHEATBELT,REGIONAL WA REGION
